,companynames,rating,reviews,location,size,industry,revenue,benefit_ratings,Health_Insurance,Dental_Insurance,FSA,Vision_iInsurance,HSA,Life_Insurance,SLI,Disability_Insurance,Mental_Health_Care,Retiree_Health,Dismemberment_Insurance,Pension_Plan,Retirement_Plan,Employee_Stock,Performance_Bonus,Stock_Options,Equity_Incentive,Supplemental_Workers,Charitable_Gift,Maternity_Leave,Work_From_Home,Fertility_Assistance,Dependent_Care,Adoption_Assistance,Childcare,Flexible_Hours,Military_Leave,Family_Medical_Leave,Paid_Holiday,Paid_time_off,Sick_Days,Volunteer_Time_Off,Sabbatical,Employee_Discount,Free_Lunch_Snacks,Employee_Assistance,Gym_Membership,Commuter_Checks,Pet_Friendly,Mobile_Discount,Company_Car,Company_Social_Events,Travel_Concierge,Legal_Assistance,Diversity_Program,Job_Training,Apprenticeship,Tuition_Assistance,Accident_Insurance,Health_Care_On_Site,retire_401K,Unpaid_Extended_Leave,Bereavement_Leave,Professional_Development,sum,location_state,US
30,Apple,4.0,14000,"Cupertino, CA",Size10000+ employees,Industry Computer Hardware & Software,Revenue $10+ billion (USD) per year,4.5,1,1,1,1,1,1,1,1,1,0,1,0,0,1,1,0,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,0,0,1,1,1,1,1,0,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,45,CA,1
31,Arby's,3.3,1400,"Atlanta, GA",Size10000+ employees,Industry Fast-Food & Quick-Service Restaurants,Revenue $1 to $2 billion (USD) per year,2.7,1,1,1,1,1,1,1,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,1,1,1,1,1,0,0,1,0,1,0,0,0,1,1,0,0,0,0,1,0,0,0,0,1,0,1,1,24,GA,1
32,Arrow Electronics,3.0,1100,"Centennial, CO",Size10000+ employees,Industry Wholesale,Revenue $10+ billion (USD) per year,3.2,1,1,1,1,1,1,1,1,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,1,1,1,0,0,0,0,1,1,1,0,0,0,1,0,1,0,1,0,0,1,0,1,0,1,1,26,CO,1
33,Ascension,3.1,1000,"Saint Louis, MO",Size10000+ employees,Industry Health Care Services & Hospitals,Revenue $100 to $500 million (USD) per year,3.6,1,1,1,1,1,1,1,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,1,1,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,1,1,21,MO,1
34,Assurant,3.1,1400,"New York, NY",Size10000+ employees,Industry Insurance Carriers,Revenue $5 to $10 billion (USD) per year,3.8,1,1,1,1,1,1,1,1,1,0,1,0,0,1,1,0,1,0,1,0,1,1,1,0,1,0,1,1,1,1,0,1,0,1,0,1,1,1,0,1,0,1,1,1,0,1,1,1,0,0,1,0,1,1,37,NY,1
35,Asurion,3.9,1800,"Nashville, TN",Size10000+ employees,Industry Insurance Carriers,Revenue Unknown / Non-Applicable,3.8,1,1,1,1,1,1,1,1,1,0,1,0,0,0,1,0,1,0,0,1,1,0,1,1,0,0,0,1,1,1,1,0,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,1,0,1,0,1,1,32,TN,1
36,Autodesk,3.9,1800,"San Rafael, CA",Size5001 to 10000 employees,Industry Computer Hardware & Software,Revenue $2 to $5 billion (USD) per year,4.4,1,1,1,1,0,1,1,1,1,0,1,0,0,1,1,0,0,0,1,1,1,1,0,1,0,0,1,1,1,1,1,1,1,1,0,1,1,1,1,1,0,1,0,1,1,1,0,1,1,0,1,0,1,1,38,CA,1
37,Avanade,3.5,1400,"Seattle, WA",Size10000+ employees,Industry IT Services,Revenue $2 to $5 billion (USD) per year,3.8,1,1,1,1,1,1,1,1,1,0,1,0,0,0,1,0,0,0,1,1,1,1,1,1,0,0,1,1,1,1,1,1,1,1,0,1,0,1,0,1,0,1,0,0,1,1,0,1,0,0,1,0,1,1,35,WA,1
38,Avaya,3.1,2200,"Santa Clara, CA",Size10000+ employees,Industry Telecommunications Services,Revenue $2 to $5 billion (USD) per year,2.9,1,1,1,1,1,1,1,1,1,0,1,0,0,0,1,0,0,0,0,0,1,0,1,0,1,0,1,1,1,1,1,1,0,0,0,1,0,1,0,1,0,1,0,1,1,0,0,0,0,0,1,0,1,1,29,CA,1
39,BASF,3.9,1700,"Ludwigshafen am Rhein, Germany",Size10000+ employees,Industry Chemical Manufacturing,Revenue $10+ billion (USD) per year,4.3,1,1,1,1,1,1,1,1,0,0,1,0,0,0,0,0,0,0,1,0,1,1,0,1,0,1,1,1,1,1,1,0,0,1,0,1,0,0,0,1,0,0,1,0,1,0,1,1,0,1,1,0,1,1,30,Germany,0
40,BAYADA Home Health Care,4.4,1600,"Moorestown, NJ",Size10000+ employees,Industry Health Care Services & Hospitals,Revenue $1 to $2 billion (USD) per year,2.9,1,1,1,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,1,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,16,NJ,1
41,BCBG,2.9,1200,"Vernon, CA",Size501 to 1000 employees,Industry Other Retail Stores,Revenue $100 to $500 million (USD) per year,3.1,1,1,1,1,1,1,1,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,1,1,1,1,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,21,CA,1
42,BMC Software,3.7,1300,"Houston, TX",Size5001 to 10000 employees,Industry Enterprise Software & Network Solutions,Revenue $2 to $5 billion (USD) per year,4.0,1,1,1,1,1,1,1,1,1,0,1,0,0,0,1,0,1,0,0,1,1,0,0,1,0,0,1,1,1,1,1,0,0,0,0,1,1,1,0,1,0,1,0,0,1,1,0,1,1,0,1,0,1,1,32,TX,1
43,BNY Mellon,3.1,4400,"New York, NY",Size10000+ employees,Industry Investment Banking & Asset Management,Revenue $10+ billion (USD) per year,3.4,1,1,1,1,1,1,1,1,1,1,1,0,0,1,1,1,1,1,1,1,1,0,1,1,1,0,0,1,1,1,1,1,0,1,0,1,0,1,0,1,0,0,0,0,1,0,0,1,1,1,1,0,1,1,38,NY,1
44,BP,3.4,3000,"London, United Kingdom",Size10000+ employees,Industry Oil & Gas Exploration & Production,Revenue $10+ billion (USD) per year,4.3,1,1,1,1,1,1,1,0,1,1,0,1,0,1,1,1,1,0,0,0,1,0,0,0,1,0,0,1,1,1,1,0,0,0,0,1,0,0,0,1,0,0,0,0,1,1,0,0,0,1,1,0,1,1,28,United Kingdom,0
45,BT,2.9,3000,"London, United Kingdom",Size10000+ employees,Industry Telecommunications Services,Revenue Unknown / Non-Applicable,3.4,1,1,1,1,1,1,1,1,1,0,1,0,0,1,1,1,0,0,1,1,1,0,0,1,0,1,1,1,1,1,1,1,1,1,0,1,0,0,0,1,0,0,0,0,1,1,0,0,0,0,1,1,1,1,34,United Kingdom,0
46,Bain & Company,4.7,2500,"Boston, MA",Size5001 to 10000 employees,Industry Consulting,Revenue $2 to $5 billion (USD) per year,4.7,1,1,1,1,0,1,1,1,1,1,1,0,0,0,1,0,0,0,0,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,0,1,0,1,0,1,1,1,1,1,1,0,1,0,1,1,40,MA,1
47,Banfield Pet Hospital,3.3,1300,"Vancouver, WA",Size10000+ employees,Industry Health Care Services & Hospitals,Revenue Unknown / Non-Applicable,3.7,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,1,1,1,0,0,1,0,1,0,0,1,1,0,0,0,1,0,0,0,1,0,0,1,1,1,1,24,WA,1
48,Banner Health,3.3,1300,"Phoenix, AZ",Size10000+ employees,Industry Health Care Services & Hospitals,Revenue $5 to $10 billion (USD) per year,3.3,1,1,1,1,1,1,0,1,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,1,1,1,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,1,21,AZ,1
49,Baxter,3.2,1700,"Deerfield, IL",Size10000+ employees,Industry Biotech & Pharmaceuticals,Revenue $500 million to $1 billion (USD) per year,4.0,1,1,1,0,0,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,1,0,17,IL,1
50,Baylor Scott & White Health,3.4,1300,"Dallas, TX",Size10000+ employees,Industry Health Care Services & Hospitals,Revenue $5 to $10 billion (USD) per year,3.5,1,1,1,1,1,1,1,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,1,1,1,1,0,0,1,0,1,0,0,0,1,0,0,0,0,0,1,0,1,0,0,1,0,1,1,24,TX,1
51,Best Buy,3.8,19000,"Richfield, MN",Size10000+ employees,Industry Unknown,Revenue $10+ billion (USD) per year,3.5,1,1,1,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,15,MN,1
52,BlackBerry,3.5,2300,"Waterloo, Canada",Size1001 to 5000 employees,Industry Computer Hardware & Software,Revenue $5 to $10 billion (USD) per year,4.0,1,1,1,0,1,1,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,1,1,0,1,0,1,0,0,0,1,0,0,0,0,0,1,0,1,0,0,1,0,1,1,20,Canada,0
53,BlackRock,3.7,2100,"New York, NY",Size10000+ employees,Industry Investment Banking & Asset Management,Revenue $10+ billion (USD) per year,4.1,1,1,1,1,1,1,1,1,1,1,1,0,0,1,1,1,1,0,1,1,1,1,1,1,0,0,1,1,1,1,1,1,0,1,0,1,1,1,0,1,0,1,0,1,1,1,0,1,1,0,1,0,1,1,41,NY,1
54,Bloomberg L.P.,3.7,3500,"New York, NY",Size10000+ employees,Industry Computer Hardware & Software,Revenue Unknown / Non-Applicable,4.5,1,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,1,0,0,0,14,NY,1
55,"Blue Cross Blue Shield of Illinois, Montana, New Mexico, Oklahoma & Texas | HCSC",3.5,1400,"Chicago, IL",Size10000+ employees,Industry Insurance Carriers,Revenue Unknown / Non-Applicable,3.9,1,1,1,1,1,1,1,1,0,0,1,1,0,0,1,0,0,0,1,0,1,1,1,1,0,1,1,1,1,1,1,1,1,1,0,1,1,1,0,1,0,0,0,1,1,0,0,1,0,0,1,1,1,1,36,IL,1
56,Bob Evans Restaurants,3.2,1200,"New Albany, OH",Size10000+ employees,Industry Casual Restaurants,Revenue $1 to $2 billion (USD) per year,3.0,1,1,1,1,1,1,1,1,0,0,1,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,18,OH,1
57,Booking.com,3.1,2100,"Amsterdam, Netherlands",Size10000+ employees,Industry Internet,Revenue $2 to $5 billion (USD) per year,3.7,1,1,1,1,1,1,1,1,1,0,1,0,0,0,1,0,1,0,1,1,0,1,0,0,0,0,1,1,1,1,0,1,0,1,1,1,1,1,0,0,0,1,0,0,1,1,0,1,1,0,1,1,1,1,34,Netherlands,0
58,Books-A-Million,2.7,1100,"Birmingham, AL",Size5001 to 10000 employees,Industry Media & Entertainment Retail Stores,Revenue $500 million to $1 billion (USD) per year,2.6,1,1,1,1,1,1,1,1,1,0,1,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,1,1,1,1,0,0,0,1,0,1,1,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,1,1,25,AL,1
59,Booz Allen Hamilton,3.7,4700,"Mc Lean, VA",Size10000+ employees,Industry Consulting,Revenue $5 to $10 billion (USD) per year,3.7,1,1,1,1,1,1,1,1,1,1,1,0,0,1,0,1,0,0,1,1,1,1,0,1,1,1,1,1,1,1,0,0,0,1,0,1,1,0,0,1,0,1,0,1,1,1,0,1,0,0,1,1,1,1,37,VA,1
60,Boston Scientific,4.0,1500,"Marlborough, MA",Size10000+ employees,Industry Health Care Products Manufacturing,Revenue $5 to $10 billion (USD) per year,4.1,1,1,1,1,1,1,1,1,1,0,1,0,0,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,0,1,1,1,0,0,1,1,1,1,1,1,0,1,1,1,1,1,1,1,45,MA,1
61,Boston University,4.1,1300,"Boston, MA",Size10000+ employees,Industry Colleges & Universities,Revenue $1 to $2 billion (USD) per year,3.9,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,1,1,0,0,1,0,1,0,0,0,1,0,0,0,0,1,0,0,1,1,0,1,0,0,0,19,MA,1
62,Boys & Girls Clubs of America,3.6,1300,"Atlanta, GA",Size501 to 1000 employees,Industry Social Assistance,Revenue $1 to $2 billion (USD) per year,2.9,1,1,1,1,1,1,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,1,1,1,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,1,1,0,1,0,1,1,24,GA,1
63,Brookdale Senior Living,2.8,2700,"Brentwood, TN",Size10000+ employees,Industry Health Care Services & Hospitals,Revenue $2 to $5 billion (USD) per year,2.8,1,1,1,1,1,1,1,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,13,TN,1
64,Buffalo Wild Wings,3.3,3000,"Atlanta, GA",Size10000+ employees,Industry Casual Restaurants,Revenue $1 to $2 billion (USD) per year,2.4,1,1,1,1,1,1,1,1,1,0,1,0,0,0,1,0,0,0,0,1,1,0,1,0,0,0,1,1,1,1,1,1,0,1,0,1,1,1,0,1,0,1,1,0,1,1,0,1,1,0,1,0,1,1,34,GA,1
65,C.H. Robinson,3.3,1300,"Eden Prairie, MN",Size10000+ employees,Industry Logistics & Supply Chain,Revenue $10+ billion (USD) per year,3.9,1,1,1,1,0,1,1,1,1,0,1,0,0,1,1,1,1,0,1,1,0,0,0,0,0,0,1,1,1,1,0,0,0,1,0,1,0,0,0,0,0,1,0,0,1,1,1,0,0,0,1,0,0,1,27,MN,1
