,companynames,rating,reviews,location,size,industry,revenue,benefit_ratings,Health_Insurance,Dental_Insurance,FSA,Vision_iInsurance,HSA,Life_Insurance,SLI,Disability_Insurance,Mental_Health_Care,Retiree_Health,Dismemberment_Insurance,Pension_Plan,Retirement_Plan,Employee_Stock,Performance_Bonus,Stock_Options,Equity_Incentive,Supplemental_Workers,Charitable_Gift,Maternity_Leave,Work_From_Home,Fertility_Assistance,Dependent_Care,Adoption_Assistance,Childcare,Flexible_Hours,Military_Leave,Family_Medical_Leave,Paid_Holiday,Paid_time_off,Sick_Days,Volunteer_Time_Off,Sabbatical,Employee_Discount,Free_Lunch_Snacks,Employee_Assistance,Gym_Membership,Commuter_Checks,Pet_Friendly,Mobile_Discount,Company_Car,Company_Social_Events,Travel_Concierge,Legal_Assistance,Diversity_Program,Job_Training,Apprenticeship,Tuition_Assistance,Accident_Insurance,Health_Care_On_Site,retire_401K,Unpaid_Extended_Leave,Bereavement_Leave,Professional_Development,sum,location_state,US
138,Extended Stay America,3.9,1100,"Charlotte, NC",Size5001 to 10000 employees,"Industry Hotels, Motels, & Resorts",Revenue $1 to $2 billion (USD) per year,3.1,1,1,1,1,1,1,1,1,0,0,1,0,0,0,1,0,1,0,0,1,0,0,1,0,0,0,0,1,1,1,1,0,0,1,0,1,0,0,0,0,0,1,0,0,0,1,0,0,1,0,1,1,1,1,26,NC,1
139,ExxonMobil,3.8,2700,"Irving, TX",Size10000+ employees,Industry Oil & Gas Exploration & Production,Revenue $10+ billion (USD) per year,4.3,1,1,1,1,1,1,0,1,1,1,1,1,0,1,0,1,0,0,0,1,1,0,1,1,1,0,0,1,1,1,1,1,0,1,0,1,0,0,0,1,0,1,0,0,1,1,1,1,1,0,1,1,1,1,36,TX,1
140,FCA Fiat Chrysler Automobiles,3.2,2300,"London, United Kingdom",Size10000+ employees,Industry Transportation Equipment Manufacturing,Revenue $10+ billion (USD) per year,3.5,1,1,1,1,1,1,1,1,1,0,1,0,0,0,1,0,1,1,0,0,1,0,0,0,0,1,1,1,1,1,1,1,0,1,0,1,1,0,0,1,1,1,0,1,1,1,0,1,1,1,1,1,1,1,37,United Kingdom,0
141,FDM Group,3.0,1100,"London, United Kingdom",Size1001 to 5000 employees,Industry IT Services,Revenue $100 to $500 million (USD) per year,3.4,1,1,0,1,0,1,0,1,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,1,1,1,1,0,0,0,0,0,0,1,0,0,0,1,0,0,1,1,0,0,0,0,1,0,1,1,20,United Kingdom,0
142,FIS,3.3,2600,"Jacksonville, FL",Size10000+ employees,Industry Financial Transaction Processing,Revenue $5 to $10 million (USD) per year,3.4,1,1,1,1,1,1,1,1,1,1,1,0,0,1,1,1,1,0,1,1,1,0,0,1,0,1,1,1,1,1,1,1,0,1,0,1,0,1,0,1,0,1,0,1,1,1,0,1,0,0,1,0,1,1,38,FL,1
143,Facebook,4.4,3400,"Menlo Park, CA",Size10000+ employees,Industry Internet,Revenue $5 to $10 billion (USD) per year,4.7,1,1,1,1,0,1,1,1,1,0,1,0,0,0,1,1,1,1,0,1,1,1,0,1,0,0,0,1,1,1,1,0,1,1,1,1,1,1,0,1,0,1,1,0,1,1,1,1,1,1,1,0,1,1,39,CA,1
144,FactSet,3.7,1400,"Norwalk, CT",Size5001 to 10000 employees,Industry Financial Analytics & Research,Revenue $1 to $2 billion (USD) per year,4.3,1,1,1,1,0,1,1,1,1,0,1,0,0,1,1,1,1,0,1,1,1,1,0,1,0,0,1,1,1,1,1,0,0,1,1,1,1,1,0,1,0,1,0,0,0,1,0,1,1,0,1,0,1,1,36,CT,1
145,Fannie Mae,3.7,1200,"Washington, DC",Size5001 to 10000 employees,Industry Investment Banking & Asset Management,Revenue $10+ billion (USD) per year,4.3,1,1,0,1,1,1,1,1,0,1,1,0,0,0,1,0,0,0,1,1,1,1,1,1,1,1,0,1,1,1,1,1,0,0,0,1,1,1,0,0,0,1,0,0,1,0,0,1,1,0,1,1,1,1,34,DC,1
146,Farmers Insurance Group,3.4,3000,"Woodland Hills, CA",Size10000+ employees,Industry Insurance Carriers,Revenue $1 to $2 billion (USD) per year,3.4,1,1,1,1,1,1,1,1,1,1,1,0,0,0,1,0,0,0,1,0,1,0,0,1,0,0,1,1,1,1,0,1,0,1,0,1,0,1,0,0,0,0,1,1,1,1,0,1,0,0,1,0,1,1,31,CA,1
147,FedEx Office,3.2,1900,"Plano, TX",Size10000+ employees,Industry Business Service Centers & Copy Shops,Revenue $1 to $2 billion (USD) per year,3.8,1,1,1,1,1,1,0,1,0,0,1,0,0,1,1,0,0,0,0,1,0,0,0,1,0,0,0,0,1,1,1,0,0,1,0,0,1,1,0,1,0,0,0,0,1,1,0,1,0,0,1,0,1,1,25,TX,1
148,Fidelity Investments,3.9,6300,"Boston, MA",Size10000+ employees,Industry Investment Banking & Asset Management,Revenue $10+ billion (USD) per year,4.5,1,1,1,1,1,1,1,1,1,1,1,0,0,0,1,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,1,0,1,1,1,0,1,0,1,1,0,1,1,0,1,0,1,1,1,1,1,40,MA,1
149,First Data,2.9,2500,"New York, 061",Size10000+ employees,Industry Financial Transaction Processing,Revenue $10+ billion (USD) per year,2.7,1,1,1,1,1,1,1,1,1,0,1,0,0,1,1,0,1,0,0,1,0,1,1,1,1,0,1,1,1,1,1,0,0,1,0,1,1,1,0,1,0,0,0,1,1,1,0,1,1,0,1,0,1,1,36,061,0
150,Fiserv,3.3,2700,"Brookfield, WI",Size10000+ employees,Industry Financial Transaction Processing,Revenue $5 to $10 billion (USD) per year,3.2,1,1,1,1,1,1,1,1,1,1,1,0,0,1,1,0,1,1,0,1,1,0,0,1,0,1,1,1,1,1,1,1,0,1,0,1,1,0,0,0,0,0,0,1,0,1,0,1,1,1,1,0,1,1,36,WI,1
151,Foot Locker,3.5,1400,"New York, NY",Size10000+ employees,"Industry Department, Clothing, & Shoe Stores",Revenue $5 to $10 billion (USD) per year,3.5,1,1,1,1,0,1,1,1,1,0,1,1,0,1,1,1,1,0,0,0,0,1,0,0,0,1,1,1,1,1,0,1,0,1,0,1,1,1,0,1,0,0,0,1,0,0,0,1,0,0,1,0,1,1,31,NY,1
152,Ford Motor Company,3.9,3500,"Dearborn, MI",Size10000+ employees,Industry Transportation Equipment Manufacturing,Revenue $10+ billion (USD) per year,4.0,1,1,1,1,1,1,1,1,1,0,1,0,0,0,1,1,0,0,0,1,1,0,0,0,0,1,1,1,1,1,1,1,1,1,0,1,0,0,0,1,1,0,0,1,1,1,0,1,1,0,1,1,1,1,35,MI,1
153,Forever 21,2.7,4800,"Los Angeles, CA",Size10000+ employees,"Industry Department, Clothing, & Shoe Stores",Revenue $5 to $10 billion (USD) per year,2.2,1,1,1,1,0,1,1,1,1,0,1,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,1,1,0,1,0,1,1,1,0,1,0,1,0,1,0,0,1,1,0,0,0,0,1,0,1,1,26,CA,1
154,Fossil,3.7,1100,"Richardson, TX",Size10000+ employees,Industry Beauty & Personal Accessories Stores,Revenue $2 to $5 billion (USD) per year,3.5,1,1,0,1,1,1,1,1,1,0,1,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,1,1,1,0,1,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,1,1,25,TX,1
155,Frontier Communications,2.4,1500,"Norwalk, CT",Size10000+ employees,"Industry Cable, Internet & Telephone Providers",Revenue $2 to $5 billion (USD) per year,3.4,1,1,1,1,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,1,0,1,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,1,0,1,0,18,CT,1
156,GEICO,3.2,3700,"Washington, DC",Size10000+ employees,Industry Insurance Carriers,Revenue $10+ billion (USD) per year,4.0,1,1,1,1,1,1,1,0,0,0,1,0,0,0,1,0,0,0,1,1,0,0,1,1,0,0,1,1,1,1,1,0,0,1,0,1,1,1,0,1,1,1,0,0,1,1,0,1,1,1,1,0,1,1,33,DC,1
157,GNC,3.0,2100,"Pittsburgh, PA",Size10000+ employees,Industry Drug & Health Stores,Revenue $2 to $5 billion (USD) per year,2.6,1,1,1,1,1,1,1,1,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,1,1,1,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,21,PA,1
158,Gallagher,3.0,1200,"Rolling Meadows, IL",Size10000+ employees,Industry Insurance Agencies & Brokerages,Revenue $2 to $5 billion (USD) per year,2.9,1,1,1,1,1,1,1,1,1,0,1,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,1,1,1,1,1,1,0,1,0,1,1,1,0,1,0,0,0,1,0,1,0,1,0,0,1,0,0,1,29,IL,1
159,Gannett,3.2,1300,"Mc Lean, VA",Size10000+ employees,Industry Publishing,Revenue $2 to $5 billion (USD) per year,3.1,1,1,1,1,1,1,1,0,0,0,1,0,0,1,0,0,0,0,1,1,1,0,0,1,0,0,1,1,1,1,1,1,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,1,1,0,1,0,1,0,26,VA,1
160,Gartner,3.9,2600,"Stamford, CT",Size10000+ employees,Industry Consulting,Revenue $2 to $5 billion (USD) per year,4.3,1,1,1,1,1,1,1,1,1,0,1,0,0,1,1,0,1,0,1,1,1,1,0,0,0,0,1,1,1,1,1,0,0,1,0,1,1,1,0,1,0,1,1,0,1,1,1,1,1,0,1,0,1,1,37,CT,1
161,General Dynamics Mission Systems,3.6,1100,"Fairfax, VA",Size10000+ employees,Industry Aerospace & Defense,Revenue $2 to $5 billion (USD) per year,3.5,1,1,1,1,1,1,1,1,1,0,1,0,0,0,1,0,0,1,1,1,1,0,1,1,0,1,1,1,1,1,1,0,0,1,0,1,1,0,0,1,0,1,0,1,1,1,0,1,1,0,1,1,1,1,37,VA,1
162,General Mills,3.7,1900,"Minneapolis, MN",Size10000+ employees,Industry Food & Beverage Manufacturing,Revenue $10+ billion (USD) per year,4.1,0,1,1,1,1,1,1,1,1,1,1,1,0,1,0,0,1,1,0,1,1,1,1,1,1,1,1,1,1,0,1,1,1,0,1,0,0,1,1,1,1,1,1,1,0,1,1,1,1,1,0,1,1,1,43,MN,1
163,Genesys,3.9,1000,"Daly City, CA",Size5001 to 10000 employees,Industry Computer Hardware & Software,Revenue $1 to $2 billion (USD) per year,4.0,1,1,1,1,1,1,1,1,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,1,1,1,1,1,1,0,0,0,1,0,0,0,1,0,1,0,1,1,1,0,1,0,1,1,0,1,1,29,CA,1
164,Genpact,3.6,4400,"New York, NY",Size10000+ employees,Industry IT Services,Revenue $2 to $5 billion (USD) per year,3.4,1,1,0,1,1,1,1,1,1,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,15,NY,1
165,Giant Eagle,3.2,1500,"Pittsburgh, PA",Size10000+ employees,Industry Grocery Stores & Supermarkets,Revenue $5 to $10 billion (USD) per year,3.5,1,1,0,1,1,1,1,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,1,0,1,0,1,1,1,1,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,21,PA,1
166,GoDaddy,3.5,1200,"Scottsdale, AZ",Size5001 to 10000 employees,Industry Internet,Revenue $2 to $5 billion (USD) per year,4.4,1,1,1,1,1,1,1,1,1,0,1,0,0,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,0,1,1,1,1,1,0,1,0,1,0,0,1,1,0,1,1,1,1,0,1,1,43,AZ,1
167,Gold's Gym,3.0,1000,"Dallas, TX",Size5001 to 10000 employees,Industry Sports & Recreation,Revenue Unknown / Non-Applicable,2.5,1,1,1,1,1,1,1,1,0,0,0,0,0,0,1,0,0,1,0,1,0,0,1,1,0,0,0,1,1,1,1,0,0,1,0,1,1,0,0,0,0,1,0,0,0,1,0,1,0,0,1,0,1,1,26,TX,1
168,Goldman Sachs,3.9,5800,"New York, NY",Size10000+ employees,Industry Investment Banking & Asset Management,Revenue $10+ billion (USD) per year,4.2,1,1,1,1,1,1,1,1,1,1,1,0,0,0,1,1,0,0,1,1,1,0,0,0,1,0,0,1,1,1,1,1,0,1,0,0,1,0,0,0,0,0,0,0,1,1,1,0,1,1,1,0,0,1,31,NY,1
169,Goodwill,2.9,3600,"Rockville, MD",Size501 to 1000 employees,Industry Social Assistance,Revenue $25 to $50 million (USD) per year,3.1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,1,19,MD,1
170,Grant Thornton,3.6,2100,"Chicago, IL",Size5001 to 10000 employees,Industry Accounting,Revenue $1 to $2 billion (USD) per year,3.8,1,1,1,1,1,1,1,1,1,0,1,1,0,0,1,0,0,0,1,1,0,1,1,1,0,0,1,1,1,1,1,0,0,0,0,1,0,0,0,1,0,1,0,0,1,0,0,1,0,0,1,0,1,0,29,IL,1
171,Groupon,3.5,2400,"Chicago, IL",Size5001 to 10000 employees,Industry Internet,Revenue $1 to $2 billion (USD) per year,3.7,1,1,1,1,1,1,1,1,1,0,1,0,0,1,1,0,0,0,0,1,1,0,0,0,0,0,1,1,1,1,1,1,0,0,0,1,1,0,0,1,0,1,0,0,1,0,0,0,1,0,1,0,1,1,29,IL,1
172,Guitar Center,2.8,1100,"Westlake Village, CA",Size10000+ employees,Industry Consumer Electronics & Appliances Stores,Revenue $2 to $5 billion (USD) per year,2.7,1,1,1,1,1,1,1,1,1,0,1,0,0,0,1,0,0,0,0,1,0,1,1,0,0,0,1,1,1,1,1,0,1,1,0,1,1,1,0,1,0,1,0,1,1,1,1,1,1,0,1,1,1,1,36,CA,1
173,H&M,3.6,4200,"Stockholm, Sweden",Size10000+ employees,"Industry Department, Clothing, & Shoe Stores",Revenue $10+ billion (USD) per year,4.2,1,1,1,1,0,1,1,1,1,0,1,0,0,0,1,0,0,1,0,1,0,1,0,1,1,0,1,1,1,1,1,0,0,1,0,1,1,1,0,1,0,1,1,1,0,1,0,0,1,0,1,0,1,1,33,Sweden,0
174,HCA Healthcare,3.5,1700,"Nashville, TN",Size10000+ employees,Industry Health Care Services & Hospitals,Revenue $10+ billion (USD) per year,3.5,1,1,1,1,0,1,1,1,0,0,1,0,0,1,1,0,1,0,1,0,0,0,0,1,0,0,1,1,0,1,0,1,0,1,0,1,0,0,0,1,0,1,0,0,1,1,1,1,0,1,1,0,1,1,29,TN,1
175,HCL Technologies,3.4,13000,"Noida, India",Size10000+ employees,Industry Computer Hardware & Software,Revenue $5 to $10 billion (USD) per year,3.3,1,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,1,0,0,1,0,1,1,0,0,1,0,0,1,0,0,1,1,1,0,0,1,1,0,1,0,1,0,0,1,1,21,India,0
176,HCR ManorCare,2.9,1400,"Toledo, OH",Size5001 to 10000 employees,Industry Health Care Services & Hospitals,Revenue Unknown / Non-Applicable,2.8,1,1,1,1,1,1,1,1,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,1,0,1,0,1,1,22,OH,1
177,HERE Technologies,3.6,1100,"Amsterdam, Netherlands",Size5001 to 10000 employees,Industry Computer Hardware & Software,Revenue $100 to $500 million (USD) per year,3.9,1,1,1,1,1,1,1,1,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,1,0,1,0,1,0,0,1,1,1,1,0,0,0,1,0,0,1,1,0,0,0,0,1,0,0,1,23,Netherlands,0
178,HP Inc.,4.0,1900,"Palo Alto, CA",Size10000+ employees,Industry Computer Hardware & Software,Revenue Unknown / Non-Applicable,3.7,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,0,0,1,1,1,0,0,0,0,0,0,1,1,1,1,1,1,1,1,0,1,0,0,0,0,0,1,1,0,1,1,1,1,1,0,1,0,1,1,36,CA,1
179,HSBC Holdings,3.6,9200,"London, United Kingdom",Size10000+ employees,Industry Banks & Credit Unions,Revenue $10+ billion (USD) per year,4.0,1,1,1,1,1,1,1,1,1,1,1,0,0,1,1,0,0,0,1,1,1,0,1,0,0,0,1,1,1,1,0,0,0,1,0,1,0,0,0,1,0,0,0,1,1,0,0,1,0,0,1,0,1,1,30,United Kingdom,0
180,Harbor Freight Tools,3.2,1300,"Calabasas, CA",Size10000+ employees,Industry Home Centers & Hardware Stores,Revenue $2 to $5 billion (USD) per year,3.5,1,1,1,1,1,1,1,1,0,0,1,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,1,1,1,1,1,0,0,1,0,1,0,1,0,1,0,1,0,0,0,1,0,1,0,0,1,0,1,1,27,CA,1
181,Harris,3.4,1700,"Melbourne, FL",Size10000+ employees,Industry Aerospace & Defense,Revenue $5 to $10 billion (USD) per year,3.2,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,11,FL,1
182,Henkel,3.8,1400,"Dusseldorf, Germany",Size10000+ employees,Industry Consumer Products Manufacturing,Revenue $10+ billion (USD) per year,3.9,1,1,1,1,1,1,1,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,14,Germany,0
183,Hewlett Packard Enterprise | HPE,3.5,8900,"Palo Alto, CA",Size10000+ employees,Industry Enterprise Software & Network Solutions,Revenue Unknown / Non-Applicable,3.4,1,1,1,1,0,1,1,1,1,1,1,1,0,1,1,0,0,0,1,1,0,0,0,0,0,0,1,1,1,1,1,1,1,1,0,1,0,0,0,0,0,1,1,1,1,1,1,1,0,1,1,0,1,1,35,CA,1
184,Hibu,3.1,1200,"East Meadow, NY",Size1001 to 5000 employees,Industry Advertising & Marketing,Revenue Unknown / Non-Applicable,3.5,1,1,1,1,1,1,1,1,1,1,1,0,0,0,1,0,0,1,0,1,0,0,1,0,1,0,1,1,1,1,0,1,0,0,0,1,1,0,0,0,0,0,0,0,1,1,0,1,1,1,1,0,1,0,30,NY,1
185,Hilton,4.1,4000,"Mc Lean, VA",Size10000+ employees,"Industry Hotels, Motels, & Resorts",Revenue $10+ billion (USD) per year,3.9,1,1,1,1,1,1,1,1,0,0,1,0,0,0,1,0,0,1,0,1,1,0,0,1,0,0,1,1,1,1,0,0,0,1,0,1,0,0,0,0,0,1,0,0,1,1,1,0,0,0,1,1,1,1,28,VA,1
186,Hobby Lobby,3.3,1600,"Oklahoma City, OK",Size10000+ employees,Industry Other Retail Stores,Revenue Unknown / Non-Applicable,3.0,1,1,1,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,14,OK,1
187,Holiday Retirement,2.4,1000,"Winter Park, FL",Size5001 to 10000 employees,Industry Real Estate,Revenue Unknown / Non-Applicable,3.2,1,1,1,1,0,1,1,1,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,0,0,1,0,1,0,0,0,1,0,1,1,0,0,1,0,0,0,0,1,1,1,1,26,FL,1
188,Honeywell,3.5,6700,"Charlotte, NC",Size10000+ employees,Industry Computer Hardware & Software,Revenue $10+ billion (USD) per year,2.6,1,1,1,1,1,1,1,1,1,0,1,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,1,1,1,1,1,0,0,1,0,1,0,1,0,1,0,0,0,1,1,1,0,1,0,0,1,1,1,1,30,NC,1
189,Huawei Technologies,3.4,4300,"Shenzhen, China",Size10000+ employees,Industry Telecommunications Services,Revenue $10+ billion (USD) per year,3.4,1,1,1,1,1,1,1,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,16,China,0
190,Humana,3.3,3200,"Louisville, KY",Size10000+ employees,Industry Insurance Carriers,Revenue $10+ billion (USD) per year,3.7,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,KY,1
191,Hy-Vee,3.6,1800,"West Des Moines, IA",Size10000+ employees,Industry Grocery Stores & Supermarkets,Revenue $5 to $10 billion (USD) per year,3.5,1,1,1,1,1,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,14,IA,1
192,Hyatt,3.9,2700,"Chicago, IL",Size10000+ employees,"Industry Hotels, Motels, & Resorts",Revenue $2 to $5 billion (USD) per year,4.2,1,1,1,1,0,1,1,1,1,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,1,1,1,1,1,1,1,0,1,1,1,0,1,0,1,0,1,0,0,1,1,0,1,0,0,1,1,1,1,31,IL,1
193,ICF,3.4,1100,"Fairfax, VA",Size5001 to 10000 employees,Industry Consulting,Revenue $1 to $2 billion (USD) per year,3.4,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,VA,1
194,IKEA,3.3,3200,"Malmo, Sweden",Size10000+ employees,Industry Home Furniture & Housewares Stores,Revenue Unknown / Non-Applicable,4.4,1,1,1,1,1,1,1,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,1,1,1,1,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,1,0,22,Sweden,0
195,Informatica,4.1,1200,"Redwood City, CA",Size1001 to 5000 employees,Industry Enterprise Software & Network Solutions,Revenue $1 to $2 billion (USD) per year,4.3,1,1,1,1,1,1,1,1,1,0,1,0,0,0,1,0,0,1,1,1,1,0,1,1,0,0,1,1,1,1,1,0,0,1,1,1,1,1,0,1,0,1,0,0,0,1,0,1,1,1,1,0,1,1,36,CA,1
196,Insight Global,4.1,6900,"Atlanta, GA",Size1001 to 5000 employees,Industry Staffing & Outsourcing,Revenue $1 to $2 billion (USD) per year,3.3,1,1,1,1,1,1,0,1,0,0,0,0,0,0,1,1,1,0,0,1,0,0,0,0,0,0,0,1,1,1,1,0,0,0,1,0,0,0,0,1,0,1,0,0,1,1,0,0,0,0,1,0,0,1,22,GA,1
197,Instacart,3.7,1700,"San Francisco, CA",Size501 to 1000 employees,Industry Internet,Revenue Unknown / Non-Applicable,1.8,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,1,0,0,1,1,1,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,15,CA,1
198,Intel Corporation,3.9,12000,"Santa Clara, CA",Size10000+ employees,Industry Computer Hardware & Software,Revenue $10+ billion (USD) per year,4.2,1,1,1,1,1,1,1,1,1,1,1,0,0,1,1,1,0,0,1,1,0,1,1,1,0,1,1,1,1,1,1,1,1,1,0,1,1,0,0,0,0,1,1,0,1,1,0,1,1,1,1,1,1,1,41,CA,1
199,InterContinental Hotels Group,3.7,1900,"Denham, United Kingdom",Size5001 to 10000 employees,"Industry Hotels, Motels, & Resorts",Revenue Unknown / Non-Applicable,3.6,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,13,United Kingdom,0
200,Intuit,4.1,4300,"Mountain View, CA",Size5001 to 10000 employees,Industry Computer Hardware & Software,Revenue $2 to $5 billion (USD) per year,4.5,1,1,1,1,1,1,1,1,1,0,1,0,0,1,0,1,0,0,1,1,0,0,1,1,1,0,0,1,1,1,1,1,0,1,0,1,1,1,0,0,1,1,1,1,1,1,0,1,0,0,1,0,1,0,35,CA,1
201,Ipsos,3.3,1500,"Paris, France",Size10000+ employees,Industry Consulting,Revenue $1 to $2 billion (USD) per year,3.5,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,1,1,1,1,0,0,0,1,0,1,0,1,0,1,0,0,1,1,0,1,0,0,1,0,1,1,25,France,0
202,Iron Mountain Inc,2.8,1100,"Boston, MA",Size10000+ employees,Industry IT Services,Revenue $2 to $5 billion (USD) per year,3.8,1,1,1,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,1,0,0,1,13,MA,1
203,J. C. Penney,3.1,7100,"Plano, TX",Size10000+ employees,"Industry Department, Clothing, & Shoe Stores",Revenue $10+ billion (USD) per year,3.1,1,1,1,1,1,1,0,1,0,0,0,1,0,1,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,1,1,1,0,1,0,0,0,0,0,0,0,1,0,0,1,1,0,0,1,1,1,0,0,1,23,TX,1
204,J.B. Hunt,3.4,1100,"Lowell, AR",Size10000+ employees,Industry Logistics & Supply Chain,Revenue $5 to $10 billion (USD) per year,3.4,1,1,1,1,1,1,1,1,1,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,1,1,1,1,0,0,1,0,1,1,0,0,1,1,0,0,0,1,1,0,1,0,0,1,0,1,1,28,AR,1
205,J.P. Morgan,3.8,17000,"New York, NY",Size10000+ employees,Industry Investment Banking & Asset Management,Revenue $10+ billion (USD) per year,4.0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,NY,1
206,JDA Software,3.7,1000,"Scottsdale, AZ",Size1001 to 5000 employees,Industry Enterprise Software & Network Solutions,Revenue $1 to $2 billion (USD) per year,3.6,1,1,1,1,1,1,1,1,1,0,1,0,0,0,1,0,0,0,0,1,1,0,1,0,0,0,0,1,1,1,1,1,0,0,0,1,0,0,0,1,0,1,0,0,1,1,0,1,1,0,1,0,1,1,29,AZ,1
207,JOANN Stores,2.6,1500,"Hudson, OH",Size10000+ employees,Industry Toy & Hobby Stores,Revenue $2 to $5 billion (USD) per year,2.5,1,1,1,1,1,1,1,1,1,0,1,0,0,0,0,0,0,0,0,1,0,1,0,1,1,1,1,1,1,1,1,1,0,1,1,1,1,0,0,1,0,1,0,1,1,1,0,1,0,0,1,1,1,1,35,OH,1
208,Jamba Juice,3.5,1200,"Frisco, TX",Size1001 to 5000 employees,Industry Fast-Food & Quick-Service Restaurants,Revenue $100 to $500 million (USD) per year,2.7,1,1,1,1,0,1,1,1,0,0,1,0,0,1,0,0,0,0,0,1,1,1,0,0,0,1,0,1,1,1,1,1,0,1,0,1,0,1,0,1,1,1,0,0,0,1,0,0,0,0,1,0,1,0,27,TX,1
